Jogador,Time,#,Nação,Pos.,Idade,Min.,Gols,Assis.,PB,PT,TC,CaG,CrtsA,CrtV,Contatos,Div,Crts,Bloqueios,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Conduções,PrgC,Tent,Suc,Data
Éder,Criciúma,23,ITA,FW,37-150,57,0,0,0,0,1,0,0,0,20,1,0,0,0.0,0.0,0.0,1,0,12,16,"75,0",3,17,0,0,0,2024-04-13
Yannick Bolasie,Criciúma,11,COD,FW,34-325,33,0,0,0,0,0,0,1,0,9,0,0,0,0.0,0.0,0.1,4,0,4,5,"80,0",0,6,3,5,3,2024-04-13
Renato Kayser,Criciúma,79,BRA,FW,28-056,85,1,0,0,0,3,1,0,0,23,0,0,1,0.5,0.5,0.1,1,0,10,15,"66,7",4,14,0,1,0,2024-04-13
Arthur,Criciúma,35,BRA,FW,31-303,5,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,6,"83,3",1,2,0,1,1,2024-04-13
Marquinhos Gabriel,Criciúma,10,BRA,AM,33-267,77,0,0,0,0,1,1,1,0,40,0,1,2,0.0,0.0,0.3,4,1,22,24,"91,7",3,24,2,7,5,2024-04-13
Matheusinho,Criciúma,17,BRA,AM,26-062,13,0,0,0,0,1,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,7,7,"100,0",1,13,0,2,2,2024-04-13
Higor Meritão,Criciúma,5,BRA,LM,29-295,90,0,0,0,0,0,0,0,0,58,1,1,3,0.0,0.0,0.0,0,0,39,44,"88,6",2,30,0,2,1,2024-04-13
Barreto,Criciúma,88,BRA,CM,28-125,90,0,0,0,0,0,0,0,0,46,2,0,3,0.0,0.0,0.0,0,0,32,36,"88,9",3,25,0,1,0,2024-04-13
Fellipe Mateus,Criciúma,7,BRA,RM,33-061,85,0,0,0,0,1,1,1,0,35,0,0,2,0.1,0.1,0.0,2,0,19,27,"70,4",4,24,1,0,0,2024-04-13
Miguel Trauco,Criciúma,14,PER,RM,31-232,5,0,0,0,0,0,0,1,0,11,1,0,1,0.0,0.0,0.0,0,0,4,8,"50,0",1,6,1,1,0,2024-04-13
Marcelo Hermes,Criciúma,22,BRA,LB,29-072,90,0,1,0,0,3,0,0,0,60,1,2,1,0.1,0.1,0.1,1,1,31,49,"63,3",3,31,0,1,0,2024-04-13
Walisson Maia,Criciúma,33,BRA,CB,32-236,90,0,0,0,0,0,0,0,0,46,1,1,0,0.0,0.0,0.0,0,0,34,41,"82,9",1,30,0,0,0,2024-04-13
Rodrigo Fagundes,Criciúma,3,BRA,CB,37-034,90,0,0,0,0,0,0,0,0,78,1,2,0,0.0,0.0,0.0,1,0,60,72,"83,3",4,52,0,0,0,2024-04-13
Claudinho,Criciúma,27,BRA,RB,23-202,77,0,0,0,0,0,0,0,0,75,3,4,2,0.0,0.0,0.0,2,0,50,58,"86,2",3,44,2,2,1,2024-04-13
Yerson Candelo,Criciúma,19,COL,RB,32-049,13,0,0,0,0,0,0,0,0,19,2,0,0,0.0,0.0,0.0,1,0,12,16,"75,0",0,11,0,0,0,2024-04-13
Alisson,Criciúma,25,BRA,GK,28-310,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,25,36,"69,4",0,18,0,0,0,2024-04-13
Gilberto,Juventude,9,BRA,FW,34-313,17,0,0,0,0,1,0,0,0,5,0,0,0,0.1,0.1,0.0,0,0,2,3,"66,7",0,0,0,0,0,2024-04-13
Erick,Juventude,7,BRA,FW,27-101,73,0,0,0,0,1,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,15,18,"83,3",3,12,0,3,1,2024-04-13
Jean Carlos Vicente,Juventude,20,BRA,FW,32-058,90,1,0,0,0,1,1,1,0,49,2,1,1,0.1,0.1,0.1,4,1,24,39,"61,5",7,29,1,0,0,2024-04-13
Nenê,Juventude,10,BRA,LM,42-269,60,0,0,0,0,2,1,0,0,39,0,1,1,0.1,0.1,0.1,2,0,19,30,"63,3",5,19,2,4,2,2024-04-13
Marcelinho,Juventude,11,BRA,LM,21-124,30,0,0,0,0,2,1,0,0,14,0,0,0,0.1,0.1,0.0,0,0,7,9,"77,8",0,10,0,1,1,2024-04-13
Caíque de Jesus Gonçalves,Juventude,95,BRA,CM,28-186,72,0,0,0,0,1,0,1,0,62,5,0,1,0.0,0.0,0.0,0,0,48,55,"87,3",2,33,0,0,0,2024-04-13
Thiaguinho,Juventude,8,BRA,CM,27-002,18,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,6,9,"66,7",0,4,0,1,1,2024-04-13
Jadson,Juventude,16,BRA,CM,30-227,90,0,1,0,0,1,1,0,0,65,2,2,2,0.0,0.0,0.2,8,1,47,54,"87,0",7,30,0,2,1,2024-04-13
Lucas Barbosa,Juventude,21,BRA,RM,23-051,71,0,0,0,0,4,0,0,0,54,3,0,3,0.1,0.1,0.0,3,0,24,36,"66,7",3,27,1,3,1,2024-04-13
Rildo,Juventude,37,BRA,RM,24-083,19,0,0,0,0,1,0,0,0,13,0,1,0,0.0,0.0,0.0,2,0,7,9,"77,8",1,3,1,0,0,2024-04-13
Gabriel Inocêncio,Juventude,12,BRA,LB,29-237,90,0,0,0,0,0,0,0,0,73,1,0,0,0.0,0.0,0.0,2,0,55,64,"85,9",4,36,5,9,6,2024-04-13
Zé Marcos,Juventude,3,BRA,CB,26-072,90,0,0,0,0,1,0,1,0,69,1,1,2,0.1,0.1,0.0,0,0,39,57,"68,4",2,31,1,0,0,2024-04-13
Rodrigo Sam,Juventude,34,BRA,CB,28-264,90,0,0,0,0,0,0,1,0,53,2,0,2,0.0,0.0,0.0,0,0,42,46,"91,3",1,24,0,0,0,2024-04-13
João Lucas,Juventude,2,BRA,RB,26-035,90,0,0,0,0,0,0,1,0,78,3,1,2,0.0,0.0,0.0,4,0,51,66,"77,3",7,38,7,5,4,2024-04-13
Gabriel,Juventude,1,BRA,GK,31-199,90,0,0,0,0,0,0,1,0,22,0,0,0,0.0,0.0,0.0,0,0,18,20,"90,0",0,9,0,0,0,2024-04-13
Lucca Holanda,Internacional,45,BRA,FW,21-011,45,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.2,2,0,7,9,"77,8",1,6,1,1,0,2024-04-13
Wesley,Internacional,21,BRA,FW,25-014,45,1,0,0,0,1,1,0,0,33,2,0,1,0.1,0.1,0.4,1,0,18,26,"69,2",0,21,4,2,1,2024-04-13
Rafael Borré,Internacional,19,COL,FW,28-211,90,0,0,0,0,6,4,0,0,33,2,0,1,1.1,1.1,0.0,1,0,13,19,"68,4",0,15,1,1,0,2024-04-13
Wanderson,Internacional,11,BRA,LM,29-189,75,0,0,0,0,2,0,0,0,28,1,0,1,0.1,0.1,0.4,1,0,12,21,"57,1",1,18,3,4,2,2024-04-13
Lucas Alario,Internacional,31,ARG,LM,31-188,15,0,0,0,0,0,0,1,0,6,0,0,0,0.0,0.0,0.0,0,0,2,3,"66,7",0,2,0,0,0,2024-04-13
Bruno Gomes,Internacional,15,BRA,CM,23-009,45,0,0,0,0,0,0,0,0,46,4,1,0,0.0,0.0,0.0,3,0,33,41,"80,5",4,29,2,1,0,2024-04-13
Bruno Henrique,Internacional,8,BRA,CM,34-175,45,0,1,0,0,1,0,0,0,33,1,0,2,0.0,0.0,0.1,3,1,23,23,"100,0",0,22,0,0,0,2024-04-13
Thiago Maia,Internacional,29,BRA,CM,27-021,45,0,0,0,0,1,1,0,0,40,1,1,0,0.0,0.0,0.0,1,0,34,36,"94,4",2,26,0,1,1,2024-04-13
Gabriel Mercado,Internacional,25,ARG,CB,37-026,45,0,0,0,0,0,0,1,0,34,1,2,0,0.0,0.0,0.0,3,2,28,31,"90,3",4,26,0,0,0,2024-04-13
Mauricio,Internacional,27,BRA,RM,22-327,82,0,0,0,0,2,1,1,0,40,2,1,1,0.1,0.1,0.1,6,0,24,31,"77,4",2,27,3,0,0,2024-04-13
Gustavo Prado,Internacional,47,BRA,RM,18-312,8,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,1,1,"100,0",0,2,0,3,2,2024-04-13
