Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas,Link Relatório
1,sáb,2024-04-13,18:30,Criciúma,0.7,1–1,0.6,Juventude,12.804,Estádio Heriberto Hülse,,Relatório da Partida,,/pt/partidas/60ef737d/Criciuma-Juventude-2024Abril13-Serie-A
1,sáb,2024-04-13,18:30,Internacional,1.9,2–1,0.7,Bahia,19.103,Estádio José Pinheiro Borba,,Relatório da Partida,,/pt/partidas/620b512a/Internacional-Bahia-2024Abril13-Serie-A
1,dom,2024-04-14,16:00,Ath Paranaense,2.0,4–0,0.3,Cuiabá,21.388,Ligga Arena,,Relatório da Partida,,/pt/partidas/086cf01e/Athletico-Paranaense-Cuiaba-2024Abril14-Serie-A
1,dom,2024-04-14,16:00,Vasco da Gama,0.9,2–1,1.2,Grêmio,17.722,Estádio Club de Regatas Vasco da Gama,,Relatório da Partida,,/pt/partidas/865e8350/Vasco-da-Gama-Gremio-2024Abril14-Serie-A
1,dom,2024-04-14,16:00,Corinthians,0.5,0–0,0.3,Atlético Mineiro,44.285,Neo Química Arena,,Relatório da Partida,,/pt/partidas/d3926429/Corinthians-Atletico-Mineiro-2024Abril14-Serie-A
1,dom,2024-04-14,16:00,Atl Goianiense,1.6,1–2,1.2,Flamengo,31.617,Estádio do Governo do Estado de Goiás,,Relatório da Partida,,/pt/partidas/d95fadf2/Atletico-Goianiense-Flamengo-2024Abril14-Serie-A
1,dom,2024-04-14,17:00,Cruzeiro,1.6,3–2,2.0,Botafogo (RJ),20.701,Estádio Governador Magalhães Pinto,,Relatório da Partida,,/pt/partidas/37353de0/Cruzeiro-Botafogo-RJ-2024Abril14-Serie-A
1,dom,2024-04-14,18:30,Vitória,1.4,0–1,0.8,Palmeiras,30.644,Estádio Manoel Barradas,,Relatório da Partida,,/pt/partidas/e8d2edb8/Vitoria-Palmeiras-2024Abril14-Serie-A
1,sáb,2024-04-13,21:00,Fluminense,1.8,2–2,1.2,Red Bull Bragantino,17.645,Estadio Jornalista Mário Filho,,Relatório da Partida,,/pt/partidas/5aee04aa/Fluminense-Red-Bull-Bragantino-2024Abril13-Serie-A
1,sáb,2024-04-13,21:00,São Paulo,0.5,1–2,0.4,Fortaleza,35.055,Estádio do Morumbi,,Relatório da Partida,,/pt/partidas/93f72e31/Sao-Paulo-Fortaleza-2024Abril13-Serie-A
2,qua,2024-04-17,19:00,Grêmio,1.1,2–0,0.2,Ath Paranaense,13.236,Arena do Grêmio,,Relatório da Partida,,/pt/partidas/12462f89/Gremio-Athletico-Paranaense-2024Abril17-Serie-A
2,qua,2024-04-17,19:00,Red Bull Bragantino,0.9,2–1,1.2,Vasco da Gama,5.448,Estádio Nabi Abi Chedid,,Relatório da Partida,,/pt/partidas/4ad46089/Red-Bull-Bragantino-Vasco-da-Gama-2024Abril17-Serie-A
2,qua,2024-04-17,20:00,Juventude,1.6,2–0,1.1,Corinthians,7.478,Estádio Alfredo Jaconi,,Relatório da Partida,,/pt/partidas/11eccb6a/Juventude-Corinthians-2024Abril17-Serie-A
2,qua,2024-04-17,20:00,Atlético Mineiro,1.0,1–1,0.3,Criciúma,21.726,Arena MRV,,Relatório da Partida,,/pt/partidas/1d4e7bb0/Atletico-Mineiro-Criciuma-2024Abril17-Serie-A
2,qua,2024-04-17,20:00,Palmeiras,1.4,0–1,1.1,Internacional,13.464,Allianz Parque,,Relatório da Partida,,/pt/partidas/5447208f/Palmeiras-Internacional-2024Abril17-Serie-A
2,qua,2024-04-17,20:00,Fortaleza,0.6,1–1,0.8,Cruzeiro,21.726,Estádio Castelão,,Relatório da Partida,,/pt/partidas/69ea969f/Fortaleza-Cruzeiro-2024Abril17-Serie-A
2,ter,2024-04-16,21:30,Bahia,1.1,2–1,0.4,Fluminense,23.080,Itaipava Arena Fonte Nova,,Relatório da Partida,,/pt/partidas/c7829e3b/Bahia-Fluminense-2024Abril16-Serie-A
2,qua,2024-04-17,21:30,Flamengo,1.3,2–1,0.7,São Paulo,45.166,Estadio Jornalista Mário Filho,,Relatório da Partida,,/pt/partidas/8929c613/Flamengo-Sao-Paulo-2024Abril17-Serie-A
2,qui,2024-04-18,21:30,Botafogo (RJ),0.6,1–0,0.9,Atl Goianiense,7.801,Estádio Nilton Santos,,Relatório da Partida,,/pt/partidas/4752f8cc/Botafogo-RJ-Atletico-Goianiense-2024Abril18-Serie-A
3,sáb,2024-04-20,16:00,Fluminense,1.3,2–1,1.9,Vasco da Gama,25.842,Estadio Jornalista Mário Filho,,Relatório da Partida,,/pt/partidas/85ba5adf/Fluminense-Vasco-da-Gama-2024Abril20-Serie-A
3,sáb,2024-04-20,18:30,Red Bull Bragantino,0.5,1–0,1.2,Corinthians,9.466,Estádio Nabi Abi Chedid,,Relatório da Partida,,/pt/partidas/45a73a6c/Red-Bull-Bragantino-Corinthians-2024Abril20-Serie-A
3,sáb,2024-04-20,18:30,Grêmio,0.6,1–0,1.3,Cuiabá,22.904,Arena do Grêmio,,Relatório da Partida,,/pt/partidas/891473c5/Gremio-Cuiaba-2024Abril20-Serie-A
3,dom,2024-04-21,16:00,Vitória,1.6,2–2,2.5,Bahia,27.609,Estádio Manoel Barradas,,Relatório da Partida,,/pt/partidas/0d52ac06/Vitoria-Bahia-2024Abril21-Serie-A
3,dom,2024-04-21,16:00,Palmeiras,0.4,0–0,0.2,Flamengo,29.956,Allianz Parque,,Relatório da Partida,,/pt/partidas/a47977b4/Palmeiras-Flamengo-2024Abril21-Serie-A
3,dom,2024-04-21,16:00,Ath Paranaense,0.8,1–0,1.6,Internacional,29.784,Ligga Arena,,Relatório da Partida,,/pt/partidas/eccd538c/Athletico-Paranaense-Internacional-2024Abril21-Serie-A
3,dom,2024-04-21,18:30,Atl Goianiense,0.2,0–3,1.7,São Paulo,8.024,Estádio Antônio Accioly,,Relatório da Partida,,/pt/partidas/90efe95f/Atletico-Goianiense-Sao-Paulo-2024Abril21-Serie-A
